,selection,seat,row,row_alt,column,column_alt,legroom,legroom_alt,price_total,price_total_alt,price_increase,price_increase_alt,scaled_distance,time_,scaled_age,scaled_height,gender,percentage_biz,annual_trip_freq,seat_type_preference,section_preference,page_sequence
0,1,13E,13,27,E,E,-1.1803943174653155,-0.21022604646470314,-0.9777428700602898,-0.9866492612474252,-0.4575825997056501,-0.6093467819948251,-1.0388545655948587,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
1,0,27E,27,13,E,E,-0.21022604646470314,-1.1803943174653155,-0.9866492612474252,-0.9777428700602898,-0.6093467819948251,-0.4575825997056501,-1.0388545655948587,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
2,0,10E,10,10,F,E,-0.21022604646470314,-0.44960145080990066,1.2381727656788142,0.9882217853855317,-0.37049958019108226,-0.6546987934361194,1.7300903654879485,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
3,1,10F,10,10,E,F,-0.44960145080990066,-0.21022604646470314,0.9882217853855317,1.2381727656788142,-0.6546987934361194,-0.37049958019108226,1.7300903654879485,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
4,1,13A,13,13,A,C,-1.1803943174653155,-0.9478118216829358,-0.2279330944949067,-0.0010921352844857997,-0.679338317652428,-0.1316523783873394,1.4386224780055477,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
5,0,13C,13,13,C,A,-0.9478118216829358,-1.1803943174653155,-0.0010921352844857997,-0.2279330944949067,-0.1316523783873394,-0.679338317652428,1.4386224780055477,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
6,1,14F,14,8,F,E,1.011984282500929,1.264945503971762,-0.3376613543337433,0.27213162240821026,-0.4329430754893414,2.256819639650089,-0.4559187906300572,Daytime,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
7,0,8E,8,14,E,F,1.264945503971762,1.011984282500929,0.27213162240821026,-0.3376613543337433,2.256819639650089,-0.4329430754893414,-0.4559187906300572,Daytime,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
8,1,5F,5,21,F,C,1.742777149156344,-0.21022604646470314,0.9882217853855317,0.7795471724089316,0.5772774173793135,-0.22719125910883653,1.1471545905231473,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
9,0,21C,21,5,C,F,-0.21022604646470314,1.742777149156344,0.7795471724089316,0.9882217853855317,-0.22719125910883653,0.5772774173793135,1.1471545905231473,Red-eye,2.2604956513720396,-0.20734389614202045,Female,0.0,5.0,Window,Economy,"[""Q11"", ""Q21"", ""Q17"", ""Q5"", ""Q10"", ""Q3"", ""Q18"", ""Q12"", ""Q7"", ""Q2"", ""Q13"", ""Q9"", ""Q20"", ""Q4"", ""Q15"", ""Q14"", ""Q1"", ""Q16"", ""Q6"", ""Q8"", ""Q19""]"
